1,若山 愛菜," 塔（とう） : tower 
 鉄塔（てっとう） : pylon, steel tower",wakayama_aina@example.com,0000,42,20,1,2019-08-21 14:23:27.120762
2,池内 倫子," 仏像（ぶつぞう） : Buddhist image or statue 
 仏壇（ぶつだん） : Buddhist altar",ikeuchi_noriko@example.com,0000,37,10,2,2019-08-21 14:23:28.120762
3,岩間 真奈美," 暖流（だんりゅう） : warm current 
 暖冬（だんとう） : mild winter",iwama_manami@example.com,0000,25,36,3,2019-08-21 14:23:29.120762
4,寺田 聡," 拡張する（かくちょうする） : extend, expand 
 緊張する（きんちょうする） : be nervous",terada_satoshi@example.com,0000,22,41,2,2019-08-21 14:23:30.120762
5,新谷 三省," 合計する（ごうけいする） : add up 
 合意する（ごういする） : agree",araya_sansei@example.com,0000,40,1,3,2019-08-21 14:23:31.120762
6,大谷 瞬," 守備（しゅび） : defense 
 守衛（しゅえい） : security guard",ootani_shun@example.com,0000,31,9,0,2019-08-21 14:23:32.120762
7,小柳 三郎," 大学（だいがく） : university 
 大学院（だいがくいん） : graduate school",koyanagi_saburou@example.com,0000,48,14,3,2019-08-21 14:23:33.120762
8,本村 ひとみ," 山々（やまやま） : mountains 
 人々（ひとびと） : people",honnmura_hitomi@example.com,0000,45,33,1,2019-08-21 14:23:34.120762
9,照井 佳乃," 破片（はへん） : fragment, splinter, piece 
 断片（だんぺん） : fragment, shred",terui_yoshino@example.com,0000,50,6,1,2019-08-21 14:23:35.120762
10,森下 みき," 洗顔する（せんがんする） : wash one's face 
 洗髪する（せんぱつする） : wash one's hair",morishita_miki@example.com,0000,42,30,3,2019-08-21 14:23:36.120762
11,梶原 光良," 切断する（せつだんする） : cut 
 親切な（しんせつな） : kind",kajiwara_teruyoshi@example.com,0000,39,10,0,2019-08-21 14:23:37.120762
12,寺島 だん吉," 模範（もはん） : model, example 
 模型（もけい） : model, dummy",terajima_dankichi@example.com,0000,22,39,2,2019-08-21 14:23:38.120762
13,谷本 一徳," 家族（かぞく） : family 
 民族（みんぞく） : race, nation",tanimoto_ittoku@example.com,0000,47,30,0,2019-08-21 14:23:39.120762
14,内村 獅童," 鈍器（どんき） : blunt weapon 
 鈍角（どんかく） : obtuse angle",uchimura_shidou@example.com,0000,45,29,3,2019-08-21 14:23:40.120762
15,竹下 公顕," 右折する（うせつする） : turn to the right 
 右派（うは） : (political) right wing",takeshita_kimiaki@example.com,0000,31,29,1,2019-08-21 14:23:41.120762
16,柴田 知世," 形容詞（けいようし） : adjective 
 動詞（どうし） : verb",shibata_chise@example.com,0000,20,8,1,2019-08-21 14:23:42.120762
17,乾 亜希," 緑茶（りょくちゃ） : green tea, Japanese tea 
 新緑（しんりょく） : fresh verdure",inui_aki@example.com,0000,34,32,2,2019-08-21 14:23:43.120762
18,小久保 慶二," 助詞（じょし） : (grammar) particle 
 助手（じょしゅ） : assistant",kokubo_keiji@example.com,0000,31,5,0,2019-08-21 14:23:44.120762
19,寺田 憲史," 上下する（じょうげする） : go up and down 
 頂上（ちょうじょう） : summit",terada_norihito@example.com,0000,32,13,1,2019-08-21 14:23:45.120762
20,工藤 エリカ," 暮色（ぼしょく） : dusk, evening shades 
 薄暮（はくぼ） : nightfall",kudou_erika@example.com,0000,33,4,1,2019-08-21 14:23:46.120762
21,柳 千夏," 写真（しゃしん） : photograph 
 真意（しんい） : real intention",yanagi_chinatsu@example.com,0000,20,39,1,2019-08-21 14:23:47.120762
22,高谷 菜摘," 炭坑（たんこう） : coal mine, coal pit 
 炭素（たんそ） : carbon",takaya_natsumi@example.com,0000,30,17,0,2019-08-21 14:23:48.120762
23,田口 兼," 歩道橋（ほどうきょう） : pedestrian bridge 
 鉄橋（てっきょう） : iron bridge",taguchi_ken@example.com,0000,25,2,3,2019-08-21 14:23:49.120762
24,岡部 寛治," 広大な（こうだいな） : very large 
 広範囲（こうはんい） : vast range",okabe_kanji@example.com,0000,29,25,1,2019-08-21 14:23:50.120762
25,岩佐 照生," 豚カツ（とんカツ） : pork cutlet 
 豚舎（とんしゃ） : pigpen, pigsty",iwasa_teruo@example.com,0000,29,26,2,2019-08-21 14:23:51.120762
26,鳥居 茂樹," 点（てん） : point, dot 
 点線（てんせん） : dotted line",torii_shigeki@example.com,0000,50,30,2,2019-08-21 14:23:52.120762
27,宮崎 佳乃," 賀正（がしょう） : Happy New Year! 
 年賀状（ねんがじょう） : New Year's card",miyazaki_yoshino@example.com,0000,44,16,3,2019-08-21 14:23:53.120762
28,村岡 徹," 典礼（てんれい） : ceremony, ritual, etiquette 
 辞典（じてん） : dictionary",muraoka_tohru@example.com,0000,35,4,2,2019-08-21 14:23:54.120762
29,森山 耕司," 革命（かくめい） : revolution 
 革新的な（かくしんてきな） : revolutionary",moriyama_kouji@example.com,0000,20,18,0,2019-08-21 14:23:55.120762
30,浅見 雅彦," 皿（さら） : plate 
 皿洗い（さらあらい） : dish-washing",asami_masahiko@example.com,0000,23,38,0,2019-08-21 14:23:56.120762
31,木内 一樹," 机上の空論（きじょうのくうろん） : empty theory 
 机（つくえ） : desk",kiuchi_kazuki@example.com,0000,50,15,1,2019-08-21 14:23:57.120762
32,国分 恵子," 部（ぶ） : section, category, department 
 部分（ぶぶん） : portion",kokubunn_keiko@example.com,0000,40,29,1,2019-08-21 14:23:58.120762
33,岩沢 建," 一週間（いっしゅうかん） : one week 
 二時間（にじかん） : two hours",iwasawa_ken@example.com,0000,36,24,3,2019-08-21 14:23:59.120762
34,紺野 砂羽," 冷蔵庫（れいぞうこ） : refrigerator 
 冷凍庫（れいとうこ） : freezer",konno_sawa@example.com,0000,49,35,0,2019-08-21 14:24:00.120762
35,篠山 瞬," 元気な（げんきな） : energetic 
 紀元前（きげんぜん） : B.C.E.",shinoyama_shun@example.com,0000,48,18,1,2019-08-21 14:24:01.120762
36,石原 寿明," 鼻炎（びえん） : nasal inflammation 
 鼻音（びおん） : nasal sound",ishihara_toshiaki@example.com,0000,31,28,0,2019-08-21 14:24:02.120762
37,安部 雄太," 全然（ぜんぜん） : not at all 
 偶然（ぐうぜん） : by chance",abe_yuuta@example.com,0000,32,9,3,2019-08-21 14:24:03.120762
38,市田 康文," 行動する（こうどうする） : act, conduct, 
 運動する（うんどうする） : exercise",ichida_yasufumi@example.com,0000,37,35,2,2019-08-21 14:24:04.120762
39,国分 信吾," 旧（きゅう） : old, ex- 
 旧姓（きゅうせい） : maiden name",kokubunn_shingo@example.com,0000,34,7,0,2019-08-21 14:24:05.120762
40,永島 麗奈," 末端（まったん） : end, tip, extremity 
 週末（しゅうまつ） : weekend",nagashima_rena@example.com,0000,47,16,2,2019-08-21 14:24:06.120762
